gene	disease
AIP	Somatotroph adenoma
AIP	Pituitary dependent hypercortisolism
AIPL1	Leber congenital amaurosis 4
AIPL1	Retinitis pigmentosa
AKT1	Proteus syndrome
AKT1	Colorectal cancer
AKT1	Familial cancer of breast
AKT1	Neoplasm of ovary
AKT1	Cowden syndrome 6
ALB	Analbuminemia
ALB	Hyperthyroxinemia, familial dysalbuminemic
ALDH2	Acute alcohol sensitivity
ALDH3A2	Sjögren-Larsson syndrome
ALDH5A1	Succinate-semialdehyde dehydrogenase deficiency
ALDH7A1	Pyridoxine-dependent epilepsy
ALDOB	Hereditary fructosuria
ALOX5AP	Ischemic stroke
ALPL	Infantile hypophosphatasia
ALPL	Adult hypophosphatasia
ALPL	Childhood hypophosphatasia
ALPL	Hypophosphatasia
AMPD1	Muscle AMP deaminase deficiency
ANG	Amyotrophic lateral sclerosis type 9
ANGPTL3	Hypobetalipoproteinemia, familial, 2
ANK2	Cardiac arrhythmia, ankyrin B-related
ANK3	Mental retardation, autosomal recessive 37
ANO5	Miyoshi muscular dystrophy 3
ANO5	Limb-girdle muscular dystrophy, type 2L
ANO5	Gnathodiaphyseal dysplasia
ANXA11	Amyotrophic lateral sclerosis type 23
AP4E1	Stuttering, familial persistent 1
AP4E1	Spastic paraplegia 51, autosomal recessive
APC	Familial adenomatous polyposis
APC	Colorectal cancer
APC	Hepatocellular carcinoma
APC	Neoplasm of stomach
APC	Desmoid disease, hereditary
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APOA2	Familial hypercholesterolemia 1
APOA5	Familial hypertriglyceridemia
APOA5	Familial type 5 hyperlipoproteinemia
APOB	Familial hypercholesterolemia 2
APOB	Hypobetalipoproteinemia, familial, 1
APOC3	Hyperalphalipoproteinemia 2
APOE	Sea-blue histiocyte syndrome
APOE	Alzheimer disease, type 4
APOE	Alzheimer disease 2
APOE	Familial type 3 hyperlipoproteinemia
APOE	Age-related macular degeneration 1
APOE	Lipoprotein glomerulopathy
APOL1	Focal segmental glomerulosclerosis 4, susceptibility to
APP	Alzheimer disease
APP	Cerebral amyloid angiopathy, APP-related
AR	Bulbo-spinal atrophy X-linked
AR	Androgen resistance syndrome
AR	Partial androgen insensitivity syndrome
AR	Malignant tumor of prostate
AR	Hypospadias 1, X-linked
ARG1	Arginase deficiency
ARMS2	Age-related macular degeneration 8
ARSA	Metachromatic leukodystrophy
ASL	Argininosuccinate lyase deficiency
ASPA	Spongy degeneration of central nervous system
ASS1	Citrullinemia type I
ASXL1	Bohring-Opitz syndrome
ASXL1	Myelodysplastic syndrome
ATG16L1	Inflammatory bowel disease 10
ATIC	AICAR transformylase/IMP cyclohydrolase deficiency
ATM	Familial cancer of breast
ATM	Ataxia-telangiectasia syndrome
ATP13A2	Kufor-Rakeb syndrome
ATP13A2	Spastic paraplegia 78, autosomal recessive
ATP1A2	Alternating hemiplegia of childhood 1
ATP1A2	Familial hemiplegic migraine type 2
ATP7A	Distal spinal muscular atrophy, X-linked 3
ATP7A	Menkes kinky-hair syndrome
ATP7A	Cutis laxa, X-linked
ATP7B	Wilson disease
ATR	Cutaneous telangiectasia and cancer syndrome, familial
ATR	Seckel syndrome 1
ATXN2	Spinocerebellar ataxia type 2
ATXN2	Parkinson disease, late-onset
AURKA	Colorectal cancer
BAAT	Hypercholanemia, familial
BARD1	Familial cancer of breast
BCAM	BLOOD GROUP--LUTHERAN SYSTEM
BCAM	LuLu phenotype
BCHE	Deficiency of butyrylcholine esterase
BCKDHA	Maple syrup urine disease
BCKDHA	Maple syrup urine disease
BCKDHB	Maple syrup urine disease
BCKDHB	Maple syrup urine disease
BCKDHB	Maple syrup urine disease type 1B
BCR	Chronic myelogenous leukemia, BCR-ABL1 positive
BCR	Acute lymphoid leukemia
BCS1L	Pili torti-deafness syndrome
BCS1L	Mitochondrial complex III deficiency, nuclear type 1
BCS1L	GRACILE syndrome
BCS1L	Leigh syndrome
BHLHE41	Short sleep, familial natural, 1
BLM	Bloom syndrome
BLOC1S3	Hermansky-Pudlak syndrome 8
BMP2	SHORT STATURE, FACIAL DYSMORPHISM, AND SKELETAL ANOMALIES WITH OR WITHOUT CARDIAC ANOMALIES
BMP2	Hemochromatosis type 1
BMP2	Brachydactyly type A2
BNC2	LOWER URINARY TRACT OBSTRUCTION, CONGENITAL
BRAF	Vemurafenib response
BRAF	Cardiofaciocutaneous syndrome 1
BRAF	LEOPARD syndrome 3
BRAF	Dabrafenib response
BRAF	Noonan syndrome 1
BRAF	Noonan syndrome 7
BRAF	Lung cancer
BRCA1	Hereditary breast and ovarian cancer syndrome
BRCA1	Pancreatic cancer 4
BRCA1	FANCONI ANEMIA, COMPLEMENTATION GROUP S
BRCA1	Familial cancer of breast
BRCA1	Breast-ovarian cancer, familial 1
BRCA2	Glioma susceptibility 3
BRCA2	Wilms tumor 1
BRCA2	Pancreatic cancer 2
BRCA2	Familial cancer of breast
BRCA2	Fanconi anemia, complementation group D1
BRCA2	Malignant tumor of prostate
BRCA2	Hereditary breast and ovarian cancer syndrome
BRCA2	Medulloblastoma
BRCA2	Breast-ovarian cancer, familial 2
BRIP1	Fanconi anemia, complementation group J
BRIP1	Familial cancer of breast
BTD	Biotinidase deficiency
BTK	X-linked agammaglobulinemia
BTK	X-linked agammaglobulinemia with growth hormone deficiency
C3	Atypical hemolytic-uremic syndrome 5
C3	Age-related macular degeneration 9
C3	Complement component 3 deficiency, autosomal recessive
C5	Leiner disease
C5	Eculizumab, poor response to
CACNA1A	Spinocerebellar ataxia type 6
CACNA1A	Familial hemiplegic migraine type 1
CACNA1A	Epileptic encephalopathy, early infantile, 42
CACNA1A	Episodic ataxia type 2
CACNA1C	Long QT syndrome 8
CACNA1C	Timothy syndrome
CACNA1C	Brugada syndrome 3
CACNA1D	Primary aldosteronism, seizures, and neurologic abnormalities
CACNA1D	Sinoatrial node dysfunction and deafness
CACNA1G	Spinocerebellar ataxia 42
CACNA1G	SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS
CACNA1S	Hypokalemic periodic paralysis 1
CACNA1S	Malignant hyperthermia, susceptibility to, 5
CACNA1S	Thyrotoxic periodic paralysis, susceptibility to, 1
CACNB2	Brugada syndrome 4
CARD11	IMMUNODEFICIENCY 11B WITH ATOPIC DERMATITIS
CARD11	Immunodeficiency 11
CARD11	B-cell expansion with NFKB and T-cell anergy
CARD14	Psoriasis susceptibility 2
CARD14	Pityriasis rubra pilaris
CARD9	Candidiasis, familial, 2
CASP8	Lung cancer
CASP8	Autoimmune lymphoproliferative syndrome type 2B
CASP8	Familial cancer of breast
CASP8	Hepatocellular carcinoma
CAV3	Distal myopathy, Tateyama type
CAV3	Long QT syndrome 9
CAV3	Rippling muscle disease 2
CAV3	Elevated serum creatine phosphokinase
CAV3	Familial hypertrophic cardiomyopathy 1
CBS	Classic homocystinuria
CCDC174	Hypotonia, infantile, with psychomotor retardation
CCL11	Human immunodeficiency virus type 1, susceptibility to
CCL11	Asthma, susceptibility to
CCL2	Human immunodeficiency virus type 1, susceptibility to
CCL2	Mycobacterium tuberculosis, susceptibility to
CCL2	Neural tube defect
CCM2	Cerebral cavernous malformations 2
CCR5	Maraviroc response
CCR5	Diabetes mellitus, insulin-dependent, 22
CCR5	Hepatitis c virus, susceptibility to
CCR5	West nile virus, susceptibility to
CD244	Rheumatoid arthritis
CD2AP	Focal segmental glomerulosclerosis 3, susceptibility to
CD320	Methylmalonic aciduria due to transcobalamin receptor defect
CD40	Hyper-IgM syndrome type 3
CD44	INDIAN BLOOD GROUP SYSTEM
CD59	CD59-mediated hemolytic anemia with or without immune-mediated polyneuropathy
CDH1	Blepharocheilodontic syndrome 1
CDH1	Neoplasm of ovary
CDH1	Familial cancer of breast
CDH1	Malignant tumor of prostate
CDH1	Hereditary diffuse gastric cancer
CDH1	Endometrial carcinoma
CDH23	Usher syndrome type 1D
CDH23	Deafness, autosomal recessive 12
CDH23	PITUITARY ADENOMA 5, MULTIPLE TYPES
CDKN1B	Multiple endocrine neoplasia, type 4
CDKN2A	Melanoma and neural system tumor syndrome
CDKN2A	Cutaneous malignant melanoma 2
CDKN2A	Melanoma-pancreatic cancer syndrome
CEP152	Primary autosomal recessive microcephaly 9
CEP152	Seckel syndrome 5
CEP290	Leber congenital amaurosis 10
CEP290	Meckel syndrome, type 4
CEP290	Senior-Loken syndrome 6
CEP290	Bardet-Biedl syndrome 14
CEP290	Joubert syndrome 5
CETP	Hyperalphalipoproteinemia 1
CFAP43	SPERMATOGENIC FAILURE 19
CFAP43	Normal pressure hydrocephalus
CFAP44	SPERMATOGENIC FAILURE 20
CFH	Factor H deficiency
CFH	Basal laminar drusen
CFH	Atypical hemolytic-uremic syndrome 1
CFH	Age-related macular degeneration 4
CFI	Afibrinogenemia
CFI	Age-related macular degeneration 13
CFI	Atypical hemolytic-uremic syndrome 3
CFTR	Hereditary pancreatitis
CFTR	Bronchiectasis with or without elevated sweat chloride 1
CFTR	Cystic fibrosis
CFTR	Ivacaftor response
CFTR	Congenital bilateral aplasia of vas deferens from CFTR mutation
CHAMP1	Mental retardation, autosomal dominant 40
CHCHD10	Myopathy, isolated mitochondrial, autosomal dominant
CHCHD10	Frontotemporal dementia and/or amyotrophic lateral sclerosis 2
CHCHD10	Spinal muscular atrophy, jokela type
CHEK2	Osteosarcoma
CHEK2	Li-Fraumeni syndrome 2
CHEK2	Malignant tumor of prostate
CHEK2	Familial cancer of breast
CHI3L1	Schizophrenia
CHI3L1	Asthma-related traits, susceptibility to, 7
CHIT1	Chitotriosidase deficiency
CHM	Choroideremia
CHRM3	Prune belly syndrome
CHRNA3	Acontractile detrusor
CHRNA3	Smoking as a quantitative trait locus 3
CHRNA4	Tobacco addiction, susceptibility to
CHRNA4	Epilepsy, nocturnal frontal lobe, type 1
CHRNA5	Smoking as a quantitative trait locus 3
CHRNA7	Chromosome 15q13.3 microdeletion syndrome
CLCN1	Congenital myotonia, autosomal recessive form
CLCN1	Congenital myotonia, autosomal dominant form
CLDN14	Deafness, autosomal recessive 29
CLDN16	Primary hypomagnesemia
CLN3	Juvenile neuronal ceroid lipofuscinosis
CLN5	Neuronal ceroid lipofuscinosis 5
CLRN1	Usher syndrome, type 3A
CLRN1	Retinitis pigmentosa
CLRN1	Retinitis pigmentosa 61
CNGB3	Achromatopsia 3
CNTNAP2	Autism 15
CNTNAP2	Pitt-Hopkins-like syndrome 1
COCH	DEAFNESS, AUTOSOMAL RECESSIVE 110
COCH	Deafness, autosomal dominant 9
COL11A1	Intervertebral disc disorder
COL11A1	Stickler syndrome type 2
COL11A1	Fibrochondrogenesis 1
COL11A1	Marshall syndrome
COL11A1	DEAFNESS, AUTOSOMAL DOMINANT 37
COL17A1	Junctional epidermolysis bullosa, non-Herlitz type
COL17A1	Epithelial recurrent erosion dystrophy
COL1A1	Osteogenesis imperfecta type III
COL1A1	Osteogenesis imperfecta, recessive perinatal lethal
COL1A1	Osteogenesis imperfecta with normal sclerae, dominant form
COL1A1	Ehlers-Danlos syndrome, procollagen proteinase deficient
COL1A1	Osteogenesis imperfecta type I
COL1A1	Infantile cortical hyperostosis
COL1A1	Osteogenesis imperfecta
COL1A1	Postmenopausal osteoporosis
COL1A2	Postmenopausal osteoporosis
COL1A2	Osteogenesis imperfecta
COL1A2	Osteogenesis imperfecta with normal sclerae, dominant form
COL1A2	Osteogenesis imperfecta, recessive perinatal lethal
COL1A2	Osteogenesis imperfecta type III
COL1A2	Ehlers-Danlos syndrome, autosomal recessive, cardiac valvular form
COL1A2	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 2
COL2A1	Avascular necrosis of the head of femur
COL2A1	Spondylometaphyseal dysplasia
COL2A1	Spondyloepiphyseal dysplasia, stanescu type
COL2A1	Kniest dysplasia
COL2A1	Spondylometaphyseal dysplasia - Sutcliffe type
COL2A1	Coxa plana
COL2A1	Czech dysplasia, metatarsal type
COL2A1	Osteoarthritis with mild chondrodysplasia
COL2A1	Spondyloperipheral dysplasia-short ulna syndrome
COL2A1	Epiphyseal dysplasia, multiple, with myopia and conductive deafness
COL2A1	Stickler syndrome type 1
COL2A1	Stickler syndrome, type I, nonsyndromic ocular
COL2A1	Achondrogenesis type II
COL2A1	Spondyloepiphyseal dysplasia congenita
COL2A1	Platyspondylic dysplasia, Torrance type
COL3A1	POLYMICROGYRIA WITH OR WITHOUT VASCULAR-TYPE EHLERS-DANLOS SYNDROME
COL3A1	Ehlers-Danlos syndrome, type 4
COL4A3	Alport syndrome, autosomal recessive
COL4A3	Alport syndrome 3, autosomal dominant
COL4A3	Benign familial hematuria
COL5A1	Ehlers-Danlos syndrome classic type 2
COL5A1	Ehlers-Danlos syndrome, classic type
COL7A1	Dystrophic epidermolysis bullosa
COL7A1	Nail disorder, nonsyndromic congenital, 8
COL7A1	Epidermolysis bullosa pruriginosa
COL7A1	Generalized dominant dystrophic epidermolysis bullosa
COL7A1	Recessive dystrophic epidermolysis bullosa
COL7A1	Pretibial epidermolysis bullosa
COL7A1	Dominant dystrophic epidermolysis bullosa with absence of skin
COL7A1	Transient bullous dermolysis of the newborn
COL9A2	Epiphyseal dysplasia, multiple, 2
COL9A2	Stickler syndrome, type 5
COL9A3	Intervertebral disc disorder
COL9A3	Epiphyseal dysplasia, multiple, 3
COMT	Schizophrenia
COMT	Panic disorder 1
CPS1	Congenital hyperammonemia, type I
CPS1	Pulmonary hypertension, neonatal, susceptibility to
CPT1A	Carnitine palmitoyltransferase I deficiency
CREB1	Angiomatoid fibrous histiocytoma
CREBBP	Rubinstein-Taybi syndrome 1
CREBBP	Menke-Hennekam syndrome 1
CRYM	Deafness, autosomal dominant 40
CSF2RB	Surfactant metabolism dysfunction, pulmonary, 5
CSNK1D	Advanced sleep phase syndrome, familial, 2
CST3	Age-related macular degeneration 11
CST3	Hereditary cerebral amyloid angiopathy, Icelandic type
CTLA4	Autoimmune lymphoproliferatiVe syndrome, type V
CTLA4	Celiac disease 3
CTLA4	Diabetes mellitus, insulin-dependent, 12
CTLA4	Hashimoto thyroiditis
CTLA4	Systemic lupus erythematosus
CTNNA2	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 9
CTNNA3	Arrhythmogenic right ventricular dysplasia, familial, 13
CTSD	Neuronal ceroid lipofuscinosis 10
CUBN	Imerslund-Gräsbeck syndrome 1
CUBN	PROTEINURIA, CHRONIC BENIGN
CXCR4	Warts, hypogammaglobulinemia, infections, and myelokathexis
CYP17A1	Deficiency of steroid 17-alpha-monooxygenase
CYP19A1	Aromatase deficiency
CYP19A1	Aromatase excess syndrome
CYP1A2	Ondansetron response
CYP1A2	Clozapine response
CYP1B1	Glaucoma 3, primary congenital, A
CYP1B1	Glaucoma 3, primary infantile, b
CYP1B1	Anterior segment dysgenesis 6
CYP21A2	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
CYP2A6	Warfarin response
CYP2A6	Lung cancer
CYP2A6	Tobacco addiction, susceptibility to
CYP2B6	Efavirenz response
CYP2C19	CYP2C19-related poor drug metabolism
CYP2C19	Sertraline response
CYP2C19	Clopidogrel response
CYP2C19	Voriconazole response
CYP2C19	Amitriptyline response
CYP2C19	Doxepin response
CYP2C19	Esomeprazole response
CYP2C19	Selective serotonin reuptake inhibitor (SSRI) response
CYP2C19	Clobazam response
CYP2C19	Flibanserin response
CYP2C19	Dexlansoprazole response
CYP2C19	Citalopram response
CYP2C19	Lansoprazole response
CYP2C19	Pantoprazole response
CYP2C19	Lacosamide response
CYP2C19	Brivaracetam response
CYP2C19	Imipramine response
CYP2C19	Trimipramine response
CYP2C19	Escitalopram response
CYP2C8	Rosiglitazone response
CYP2C8	DRUG METABOLISM, ALTERED, CYP2C8-RELATED
CYP2C8	Pioglitazone response
CYP2C9	Dronabinol response
CYP2C9	Piroxicam response
CYP2C9	Flurbiprofen response
CYP2C9	Warfarin response
CYP2C9	Lesinurad response
CYP2D6	Paroxetine response
CYP2D6	Eliglustat response
CYP2D6	Clozapine response
CYP2D6	Tramadol response
CYP2D6	Doxepin response
CYP2D6	Selective serotonin reuptake inhibitor (SSRI) response
CYP2D6	Ondansetron response
CYP2D6	Tropisetron response
CYP2D6	Trimipramine response
CYP2D6	Imipramine response
CYP2D6	Fluvoxamine response
CYP2D6	Desipramine response
CYP2D6	Nortriptyline response
CYP2D6	Amitriptyline response
CYP2D6	Deutetrabenazine response
CYP2D6	Disorder due cytochrome p450 CYP2D6 variant
CYP2D6	Codeine response
CYP2D6	Thioridazine response
CYP2D6	Tamoxifen response
CYP2R1	Vitamin d hydroxylation-deficient rickets, type 1b
CYP3A4	Clozapine response
CYP3A4	Esomeprazole response
CYP3A4	Ondansetron response
CYP3A5	Essential hypertension
CYP3A5	Tacrolimus response
CYP4V2	Bietti crystalline corneoretinal dystrophy
DAOA	Schizophrenia
DBH	Orthostatic hypotension 1
DBT	Maple syrup urine disease
DBT	Maple syrup urine disease
DCC	Mirror movements 1
DCC	Colorectal cancer
DCC	Malignant tumor of esophagus
DCC	Gaze palsy, familial horizontal, with progressive scoliosis, 2
DCDC2	Sclerosing cholangitis, neonatal
DCDC2	Nephronophthisis 19
DCDC2	Deafness, autosomal recessive 66
DCHS1	Mitral valve prolapse 2
DCHS1	Van Maldergem syndrome 1
DDC	Deficiency of aromatic-L-amino-acid decarboxylase
DDX3Y	Spermatogenic failure, Y-linked 2
DGKE	Mesangiocapillary glomerulonephritis, type II
DGKE	Nephrotic syndrome, type 7
DHCR7	Smith-Lemli-Opitz syndrome
DHDDS	Retinitis pigmentosa 59
DHDDS	DEVELOPMENTAL DELAY AND SEIZURES WITH OR WITHOUT MOVEMENT ABNORMALITIES
DHFR	Megaloblastic anemia due to dihydrofolate reductase deficiency
DHODH	Miller syndrome
DISC1	Schizophrenia 9
DLD	Maple syrup urine disease, type 3
DNAH1	Ciliary dyskinesia, primary, 37
DNAH1	SPERMATOGENIC FAILURE 18
DNAI1	Kartagener syndrome
DNAJB11	POLYCYSTIC KIDNEY DISEASE 6 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE
DNM1	Epileptic encephalopathy, early infantile, 31
DNM2	Myopathy, centronuclear, 1
DNM2	Charcot-Marie-Tooth disease, dominant intermediate B
DNM2	Lethal congenital contracture syndrome 5
DNMT3A	Tatton-Brown-rahman syndrome
DNMT3A	Acute myeloid leukemia
DNMT3A	Acute myeloid leukemia
DNMT3A	HEYN-SPROUL-JACKSON SYNDROME
DOCK7	Epileptic encephalopathy, early infantile, 23
DPP6	Mental retardation, autosomal dominant 33
DPP6	Ventricular fibrillation, paroxysmal familial, 2
DPYD	Dihydropyrimidine dehydrogenase deficiency
DPYD	Fluoropyrimidine response
DPYD	Capecitabine response
DPYD	Tegafur response
DRD3	Schizophrenia
DRD3	Hereditary essential tremor 1
DRD4	Attention deficit hyperactivity disorder
DSP	Lethal acantholytic epidermolysis bullosa
DSP	Arrhythmogenic right ventricular cardiomyopathy, type 8
DSP	Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis
DSP	Skin fragility-woolly hair-palmoplantar keratoderma syndrome
DSP	Keratosis palmoplantaris striata II
DSP	Dilated cardiomyopathy with woolly hair and keratoderma
DSPP	Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1
DSPP	Denticles
DSPP	Dentinogenesis imperfecta - Shield's type II
DSPP	Dentinogenesis imperfecta - Shield's type III
DTNA	Left ventricular noncompaction 1
DTNBP1	Hermansky-Pudlak syndrome 7
DYRK1B	Abdominal obesity-metabolic syndrome 3
DYSF	Autosomal recessive limb-girdle muscular dystrophy type 2B
DYSF	Myopathy, distal, with anterior tibial onset
DYSF	Miyoshi muscular dystrophy 1
DYSF	Limb-girdle muscular dystrophy
DYSF	Limb-girdle muscular dystrophy
EDAR	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome
EDAR	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant
EDAR	Hair morphology 1
EDN1	Auriculocondylar syndrome 3
EDN1	Question mark ears, isolated
EDNRB	Waardenburg syndrome type 4A
EDNRB	Hirschsprung disease 2
EDNRB	ABCD syndrome
EGF	Hypomagnesemia 4, renal
EGFR	Inflammatory skin and bowel disease, neonatal, 2
EGFR	Lung cancer
EGLN1	Erythrocytosis, familial, 3
EGLN1	Hemoglobin, high altitude adaptation
EIF2AK4	Pulmonary venoocclusive disease 2, autosomal recessive
EIF2B5	Leukoencephalopathy with vanishing white matter
EIF4G1	Parkinson disease 18
ELAC2	Prostate cancer, hereditary, 2
ELAC2	Combined oxidative phosphorylation deficiency 17
ELANE	Neutropenia, severe congenital 1, autosomal dominant
ELANE	Cyclical neutropenia
ELN	Williams syndrome
ELN	Cutis laxa, autosomal dominant 1
ELN	Supravalvar aortic stenosis
ELP4	Aniridia 2
ENG	Hereditary hemorrhagic telangiectasia type 1
ENPP1	Diabetes mellitus type 2
ENPP1	Hypophosphatemic rickets, autosomal recessive, 2
ENPP1	Arterial calcification, generalized, of infancy, 1
ENPP1	Cole disease
ENPP1	Obesity
EPAS1	Erythrocytosis, familial, 4
EPCAM	Hereditary nonpolyposis colorectal cancer type 8
EPCAM	Diarrhea 5, with tufting enteropathy, congenital
EPHA2	Cataract 6, multiple types
EPOR	Primary familial polycythemia due to EPO receptor mutation
ERBB4	Amyotrophic lateral sclerosis 19
ERCC2	Trichothiodystrophy 1, photosensitive
ERCC2	Xeroderma pigmentosum, group D
ERCC2	Cerebrooculofacioskeletal syndrome 2
ERCC6	Age-related macular degeneration 5
ERCC6	Premature ovarian failure 11
ERCC6	Cockayne syndrome B
ERCC6	DE SANCTIS-CACCHIONE SYNDROME
ERCC6	Lung cancer
ERCC6	UV-sensitive syndrome 1
ERCC6	Cerebrooculofacioskeletal syndrome 1
ESCO2	Roberts-SC phocomelia syndrome
ESCO2	Roberts-SC phocomelia syndrome
ESR1	Estrogen resistance
ESR1	Myocardial infarction 1
ESR1	Migraine
ESR1	Familial cancer of breast
ESRRB	Deafness, autosomal recessive 35
EYA1	Melnick-Fraser syndrome
EYA1	Branchiootic syndrome
EYA1	Otofaciocervical syndrome 1
F11	Hereditary factor XI deficiency disease
F12	Factor XII deficiency disease
F12	Hereditary angioedema type 3
F2	Venous thrombosis
F2	Pregnancy loss, recurrent, susceptibility to, 2
F2	Ischemic stroke
F2	Prothrombin deficiency, congenital
F5	Ischemic stroke
F5	Recurrent abortion
F5	Factor V deficiency
F5	Budd-Chiari syndrome
F5	Thrombophilia due to activated protein C resistance
F9	Hereditary factor IX deficiency disease
F9	Thrombophilia, X-linked, due to factor IX defect
F9	WARFARIN SENSITIVITY, X-LINKED
FAAH	Polysubstance abuse, susceptibility to
FAH	Tyrosinemia type I
FANCC	Fanconi anemia, complementation group C
FANCM	SPERMATOGENIC FAILURE 28
FANCM	PREMATURE OVARIAN FAILURE 15
FBN1	Acromicric dysplasia
FBN1	Ectopia lentis, isolated, autosomal dominant
FBN1	MASS syndrome
FBN1	Geleophysic dysplasia 2
FBN1	Weill-Marchesani syndrome 2
FBN1	Marfan lipodystrophy syndrome
FBN1	Stiff skin syndrome
FBN1	Marfan syndrome
FBN1	Familial thoracic aortic aneurysm and aortic dissection
FBN1	Familial thoracic aortic aneurysm and aortic dissection
FBXL3	Mental retardation, short stature, facial anomalies, and joint dislocations
FCGR2A	Cystic fibrosis
FCGR2A	Systemic lupus erythematosus
FCGR2A	Susceptibility to malaria
FCGR2B	Susceptibility to malaria
FCGR2B	Systemic lupus erythematosus
FCGR3A	Immunodeficiency 20
FECH	Protoporphyria, erythropoietic, 1
FERMT1	Kindler's syndrome
FGF23	Autosomal dominant hypophosphatemic rickets
FGF23	TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 2
FGFR2	Saethre-Chotzen syndrome
FGFR2	Levy-Hollister syndrome
FGFR2	Crouzon syndrome
FGFR2	Neoplasm of stomach
FGFR2	Jackson-Weiss syndrome
FGFR2	Pfeiffer syndrome
FGFR2	Bent bone dysplasia syndrome
FGFR2	Acrocephalosyndactyly type I
FGFR2	Scaphocephaly, maxillary retrusion, and mental retardation
FGFR2	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis
