gene,text
ARL6IP1,"Spastic paraplegia 61, autosomal recessive"
ARMC2,SPERMATOGENIC FAILURE 38
ARMC4,Primary ciliary dyskinesia 23
ARMC5,Acth-independent macronodular adrenal hyperplasia 2
ARMC9,JOUBERT SYNDROME 30
ARMS2,Age-related macular degeneration 8
ARNT2,Webb-Dattani syndrome
ARPC1B,IMMUNODEFICIENCY 71 WITH INFLAMMATORY DISEASE AND CONGENITAL THROMBOCYTOPENIA
ARR3,"MYOPIA 26, X-LINKED, FEMALE-LIMITED"
ARSA,Metachromatic leukodystrophy
ARSB,Mucopolysaccharidosis type 6
ARSG,"Usher syndrome, type 4"
ARSL,X-linked chondrodysplasia punctata 1
ART4,"Blood group, Dombrock system"
ARV1,"Epileptic encephalopathy, early infantile, 38"
ARX,Partington syndrome
ARX,"Lissencephaly 2, X-linked"
ARX,"Mental retardation, with or without seizures, ARX-related, X-linked"
ARX,"Epileptic encephalopathy, early infantile, 1"
ARX,Corpus callosum agenesis-abnormal genitalia syndrome
ASAH1,Farber disease
ASAH1,Spinal muscular atrophy-progressive myoclonic epilepsy syndrome
ASB10,"Glaucoma 1, open angle, F"
ASCC1,Barrett esophagus
ASCC1,Spinal muscular atrophy with congenital bone fractures 2
ASCL1,Congenital central hypoventilation
ASH1L,"Intellectual disability, autosomal dominant 52"
ASIP,"Skin/hair/eye pigmentation, variation in, 9"
ASL,Argininosuccinate lyase deficiency
ASNS,Asparagine synthetase deficiency
ASPA,Spongy degeneration of central nervous system
ASPH,"Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs"
ASPM,Primary autosomal recessive microcephaly 5
ASPN,Osteoarthritis susceptibility 3
ASPN,Intervertebral disc disorder
ASPRV1,Autosomal dominant lamellar ichthyosis
ASPSCR1,Alveolar soft part sarcoma (disease)
ASS1,Citrullinemia type I
ASXL1,Bohring-Opitz syndrome
ASXL1,Myelodysplastic syndrome
ASXL2,Shashi-Pena syndrome
ASXL3,Bainbridge-Ropers syndrome
ATAD1,HYPEREKPLEXIA 4
ATAD3A,"PONTOCEREBELLAR HYPOPLASIA, HYPOTONIA, AND RESPIRATORY INSUFFICIENCY SYNDROME, NEONATAL LETHAL"
ATAD3A,Harel-Yoon syndrome
ATCAY,"Cerebellar ataxia, Cayman type"
ATF6,Achromatopsia 7
ATG16L1,Inflammatory bowel disease 10
ATG5,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 25"
ATIC,AICAR transformylase/IMP cyclohydrolase deficiency
ATL1,Hereditary spastic paraplegia 3A
ATL1,Hereditary sensory neuropathy type 1D
ATL3,Hereditary sensory neuropathy type IF
ATM,Familial cancer of breast
ATM,Ataxia-telangiectasia syndrome
ATN1,"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES"
ATN1,Dentatorubral-pallidoluysian atrophy
ATOH7,"Persistent hyperplastic primary vitreous, autosomal recessive"
ATP11C,X-linked congenital hemolytic anemia
ATP13A2,Kufor-Rakeb syndrome
ATP13A2,"Spastic paraplegia 78, autosomal recessive"
ATP1A1,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD"
ATP1A1,"Hypomagnesemia, seizures, and mental retardation 2"
ATP1A2,Alternating hemiplegia of childhood 1
ATP1A2,Familial hemiplegic migraine type 2
ATP1A3,Alternating hemiplegia of childhood 2
ATP1A3,Dystonia 12
ATP1A3,Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome
ATP1B1,Essential hypertension
ATP2A1,Brody myopathy
ATP2A2,Acrokeratosis verruciformis of Hopf
ATP2A2,Keratosis follicularis
ATP2B2,"Deafness, autosomal recessive 12"
ATP2B3,"Spinocerebellar ataxia, X-linked 1"
ATP2C1,Familial benign pemphigus
ATP5F1A,Combined oxidative phosphorylation deficiency 22
ATP5F1A,"Mitochondrial complex v (atp synthase) deficiency, nuclear type 4"
ATP5F1D,Mitochondrial complex 5 (ATP synthase) deficiency nuclear type 5
ATP5F1E,Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 3
ATP5MD,"Mitochondrial complex 5 (atp synthase) deficiency, nuclear type 6"
ATP6AP1,Immunodeficiency 47
ATP6AP2,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIr"
ATP6AP2,"Mental retardation, X-linked, syndromic, Hedera type"
ATP6AP2,"Parkinsonism with spasticity, X-linked"
ATP6V0A2,Cutis laxa with osteodystrophy
ATP6V0A2,Wrinkly skin syndrome
ATP6V0A4,"Renal tubular acidosis, distal, autosomal recessive"
ATP6V1A,Autosomal recessive cutis laxa type 2d
ATP6V1A,"Epileptic encephalopathy, infantile or early childhood 3"
ATP6V1B1,Renal tubular acidosis with progressive nerve deafness
ATP6V1B2,"Deafness, congenital, with onychodystrophy, autosomal dominant"
ATP6V1B2,Zimmermann-Laband syndrome 2
ATP6V1E1,Autosomal recessive cutis laxa type 2c
ATP7A,"Distal spinal muscular atrophy, X-linked 3"
ATP7A,Menkes kinky-hair syndrome
ATP7A,"Cutis laxa, X-linked"
ATP7B,Wilson disease
ATP8A2,"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4"
ATP8B1,"Cholestasis, benign recurrent intrahepatic 1"
ATP8B1,"Cholestasis, progressive familial intrahepatic 1"
ATP8B1,Cholestasis of pregnancy
ATPAF2,Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 1
ATR,"Cutaneous telangiectasia and cancer syndrome, familial"
ATR,Seckel syndrome 1
ATRX,Alpha thalassemia-X-linked intellectual disability syndrome
ATRX,"Mental retardation-hypotonic facies syndrome X-linked, 1"
ATRX,Acquired hemoglobin H disease
ATXN1,Spinocerebellar ataxia type 1
ATXN10,Spinocerebellar ataxia type 10
ATXN2,Spinocerebellar ataxia type 2
ATXN2,"Parkinson disease, late-onset"
ATXN3,Azorean disease
ATXN7,Spinocerebellar ataxia 7
ATXN8,Spinocerebellar ataxia type 8
ATXN8OS,Spinocerebellar ataxia type 8
ATXN8OS,"Parkinson disease, late-onset"
AUH,3-Methylglutaconic aciduria type 1
AURKA,Colorectal cancer
AURKC,Infertility associated with multi-tailed spermatozoa and excessive DNA
AUTS2,"Mental retardation, autosomal dominant 26"
AVIL,"NEPHROTIC SYNDROME, TYPE 21"
AVP,Neurohypophyseal diabetes insipidus
AVPR2,Nephrogenic syndrome of inappropriate antidiuresis
AVPR2,"Nephrogenic diabetes insipidus, X-linked"
AXIN1,Hepatocellular carcinoma
AXIN1,Caudal duplication anomaly
AXIN2,Oligodontia-colorectal cancer syndrome
AXIN2,Colorectal cancer
AXL,Hypogonadotropic hypogonadism 7 with or without anosmia
B2M,"Hypoproteinemia, hypercatabolic"
B2M,"Familial visceral amyloidosis, Ostertag type"
B3GALNT1,p phenotype
B3GALNT1,"Blood group, globoside system"
B3GALNT2,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11"
B3GALT6,Al-Gazali syndrome
B3GALT6,"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures"
B3GALT6,"Ehlers-Danlos syndrome, progeroid type, 2"
B3GAT3,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects"
B3GLCT,Peters plus syndrome
B4GALNT1,Hereditary spastic paraplegia 26
B4GALT1,B4GALT1-CDG
B4GALT7,Ehlers-Danlos syndrome progeroid type
B4GAT1,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13"
B9D1,"Meckel syndrome, type 9"
B9D1,Joubert syndrome 27
B9D2,"Meckel syndrome, type 10"
BAAT,"Hypercholanemia, familial"
BACH2,IMMUNODEFICIENCY 60
