#GeneID	AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	SourceID	DiseaseMIM	LastUpdated
100	ADA		C1863236	Severe combined immunodeficiency due to ADA deficiency	NCBI curation		102700	Feb 16 2016
51816	ADA2		C3887654	Polyarteritis nodosa, childhoood-onset	NCBI curation		615688	Dec 26 2017
51816	ADA2		C0282492	Idiopathic livedo reticularis with systemic involvement			182410	Feb 16 2016
102	ADAM10		C3810041	Alzheimer disease 18	NCBI curation		615590	Feb 16 2016
102	ADAM10		C0406811	Reticulate acropigmentation of Kitamura	NCBI curation		615537	Feb 16 2016
6868	ADAM17		C3280501	Inflammatory skin and bowel disease, neonatal 1	NCBI curation		614328	Feb 16 2016
53616	ADAM22		C4693688	Early infantile epileptic encephalopathy 61	NCBI curation		617933	Apr 23 2018
8754	ADAM9		C1423873	Cone-rod dystrophy 9	NCBI curation		612775	Feb 16 2016
81794	ADAMTS10		C4552002	Weill-Marchesani syndrome 1	NCBI curation		277600	Feb 16 2016
11093	ADAMTS13		C1268935	Upshaw-Schulman syndrome			274150	Feb 16 2016
170691	ADAMTS17		C2750787	Weill-Marchesani syndrome 4	NCBI curation		613195	Aug  5 2019
170692	ADAMTS18		C3809567	Microcornea, myopic chorioretinal atrophy, and telecanthus	NCBI curation		615458	Feb 16 2016
9509	ADAMTS2		C2700425	Ehlers-Danlos syndrome dermatosparaxis type	NCBI curation		225410	Nov  7 2019
9508	ADAMTS3		C4748408	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 3	OMIM	618154	618154	Oct 26 2018
9719	ADAMTSL2		C3278147	Geleophysic dysplasia 1	NCBI curation		231050	Feb 16 2016
54507	ADAMTSL4		C1644196	Ectopia lentis et pupillae			225200	Feb 16 2016
54507	ADAMTSL4		C3541474	Ectopia lentis 2, isolated, autosomal recessive	MONDO	MONDO:0009152	225100	Apr 22 2020
103	ADAR		C0406775	Symmetrical dyschromatosis of extremities			127400	Feb 16 2016
103	ADAR		C3539013	Aicardi-Goutieres syndrome 6	NCBI curation		615010	Apr  8 2018
104	ADARB1		CN280872	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES	OMIM	618862	618862	May  2 2020
113179	ADAT3		C3809039	Mental retardation, autosomal recessive 36	NCBI curation		615286	Feb 16 2016
107	ADCY1		C1857809	Deafness, autosomal recessive 44	NCBI curation		610154	Feb 16 2016
55811	ADCY10		C0342639	Familial idiopathic hypercalciuria	NCBI curation		143870	Feb 16 2016
109	ADCY3		C4693522	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19	OMIM	617885	617885	Mar  1 2018
111	ADCY5		C1847627	Dyskinesia, familial, with facial myokymia	NCBI curation		606703	Feb 16 2016
112	ADCY6		C4225385	Lethal congenital contracture syndrome 8	NCBI curation		616287	Feb 16 2016
118	ADD1		C0085580	Essential hypertension			145500	Feb 16 2016
120	ADD3		C4310767	Cerebral palsy, spastic quadriplegic, 3	NCBI curation		617008	Jul  3 2016
30817	ADGRE2		C0157743	Vibratory urticaria	NCBI curation		125630	Aug 24 2016
9289	ADGRG1		C3810405	Polymicrogyria, bilateral perisylvian, autosomal recessive	NCBI curation		615752	Feb 16 2016
9289	ADGRG1		C1847352	Polymicrogyria, bilateral frontoparietal	NCBI curation		606854	Feb 16 2016
10149	ADGRG2		C4310815	Vas deferens, congenital bilateral aplasia of, X-linked	NCBI curation		300985	Jun 20 2017
57211	ADGRG6		C4225303	Lethal congenital contracture syndrome 9	NCBI curation		616503	Mar 19 2016
84059	ADGRV1		C2931213	Usher syndrome, type 2C	NCBI curation		605472	Feb 16 2016
84059	ADGRV1		C1858493	Febrile seizures, familial, 4	NCBI curation		604352	Feb 16 2016
125	ADH1B		C0001973	Alcohol dependence	NCBI curation		103780	Jul  6 2018
126	ADH1C		C0001973	Alcohol dependence	NCBI curation		103780	Jul  6 2018
126	ADH1C		C3160718	Parkinson disease, late-onset	NCBI curation		168600	Feb 16 2016
9370	ADIPOQ		C2675517	Serum level of adiponectin 1	NCBI curation		612556	Feb 16 2016
132	ADK		C4706555	Hypermethioninemia due to adenosine kinase deficiency	NCBI curation		614300	Feb 16 2016
23394	ADNP		C4014538	Helsmoortel-Van der Aa Syndrome	NCBI curation		615873	Jul 15 2019
54936	ADPRS		C4748527	NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES	OMIM	618170	618170	Nov 10 2018
153	ADRB1		C5231420	SHORT SLEEP, FAMILIAL NATURAL, 2	OMIM	618591	618591	Sep 27 2019
153	ADRB1		C1821417	Resting heart rate	NCBI curation		607276	Feb 16 2016
154	ADRB2		C1869116	Asthma, susceptibility to	NCBI curation		600807	Feb 16 2016
154	ADRB2		C0028754	Obesity	NCBI curation		601665	Feb 16 2016
155	ADRB3		C0028754	Obesity	NCBI curation		601665	Feb 16 2016
158	ADSL		C0268126	Adenylosuccinate lyase deficiency			103050	Feb 16 2016
122622	ADSS1		C4310754	Myopathy, distal, 5	NCBI curation		617030	Aug 24 2016
165	AEBP1		C4693870	EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 2	OMIM	618000	618000	Jun  1 2018
2334	AFF2		C0751157	FRAXE	NCBI curation		309548	Feb 16 2016
27125	AFF4		C4085597	Chops syndrome	NCBI curation		616368	Feb 16 2016
10939	AFG3L2		C1853249	Spinocerebellar ataxia type 28	MONDO	MONDO:0012450	610246	Apr 22 2020
10939	AFG3L2		CN283325	OPTIC ATROPHY 12	OMIM	618977	618977	Aug 15 2020
10939	AFG3L2		C3280977	Spastic ataxia 5, autosomal recessive	NCBI curation		614487	Feb 16 2016
174	AFP		C1863081	Alpha-fetoprotein deficiency	NCBI curation		615969	Feb 16 2016
174	AFP		C1863080	Alpha-fetoprotein, hereditary persistence of	NCBI curation		615970	Feb 16 2016
175	AGA		C0268225	Aspartylglucosaminuria	Human Phenotype Ontology	HP:0012068	208400	Mar 19 2018
123624	AGBL1		C3809798	Corneal dystrophy, Fuchs endothelial, 8	NCBI curation		615523	Feb 16 2016
60509	AGBL5		C4310759	Retinitis pigmentosa 75	NCBI curation		617023	Aug 24 2016
55750	AGK		C3553494	Cataract, autosomal recessive congenital 5	NCBI curation		614691	Feb 16 2016
55750	AGK		C1859317	Sengers syndrome	NCBI curation		212350	Feb 28 2019
178	AGL		C0017922	Glycogen storage disease type III	NCBI curation		232400	Feb 16 2016
10555	AGPAT2		C1720862	Congenital generalized lipodystrophy type 1			608594	Feb 16 2016
8540	AGPS		C1838612	Rhizomelic chondrodysplasia punctata type 3	NCBI curation		600121	Feb 16 2016
375790	AGRN		C3808739	Myasthenic syndrome, congenital, 8	NCBI curation		615120	Aug 24 2016
181	AGRP		C0028754	Obesity	NCBI curation		601665	Feb 16 2016
183	AGT		C0266313	Renal dysplasia	Human Phenotype Ontology	HP:0000110	267430	Feb 16 2016
183	AGT		C0085580	Essential hypertension			145500	Feb 16 2016
23287	AGTPBP1		C4748934	NEURODEGENERATION, CHILDHOOD-ONSET, WITH CEREBELLAR ATROPHY	OMIM	618276	618276	Jan 13 2019
185	AGTR1		C0266313	Renal dysplasia	Human Phenotype Ontology	HP:0000110	267430	Feb 16 2016
185	AGTR1		C0085580	Essential hypertension			145500	Feb 16 2016
189	AGXT		C0268164	Primary hyperoxaluria, type I			259900	Feb 16 2016
64902	AGXT2		C1859518	Beta-aminoisobutyric aciduria	NCBI curation		210100	Jun 20 2017
191	AHCY		C3151058	Hypermethioninemia with s-adenosylhomocysteine hydrolase deficiency	NCBI curation		613752	Feb 16 2016
27245	AHDC1		C4014419	Xia-Gibbs syndrome	NCBI curation		615829	Feb 16 2016
54806	AHI1		C1837713	Joubert syndrome 3	NCBI curation		608629	Feb 16 2016
196	AHR		C5193041	Retinitis pigmentosa 85	NCBI curation		618345	Mar  8 2019
197	AHSG		C1859878	Alopecia-intellectual disability syndrome 1	MONDO	MONDO:0021035	203650	Apr 17 2020
57379	AICDA		C1720956	Hyper-IgM syndrome type 2	MONDO	MONDO:0011528	605258	Apr 22 2020
9131	AIFM1		C3151753	Combined oxidative phosphorylation deficiency 6	NCBI curation		300816	Feb 16 2016
9131	AIFM1		C1845095	Deafness, X-linked 5	NCBI curation		300614	Feb 16 2016
9131	AIFM1		C1846148	Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy	NCBI curation		300232	Dec  4 2019
9131	AIFM1		C0795910	Cowchock syndrome	NCBI curation		310490	Aug 24 2016
9255	AIMP1		C1850053	Hypomyelinating leukodystrophy 3	MONDO	MONDO:0009843	260600	Apr 22 2020
7965	AIMP2		C4693912	LEUKODYSTROPHY, HYPOMYELINATING, 17	OMIM	618006	618006	Jun  7 2018
9049	AIP		C4538355	Somatotroph adenoma	NCBI curation		102200	Feb 16 2016
9049	AIP		C0221406	Pituitary dependent hypercortisolism	NCBI curation		219090	Feb 16 2016
23746	AIPL1		C1858386	Leber congenital amaurosis 4	NCBI curation		604393	Feb 16 2016
23746	AIPL1		C0035334	Retinitis pigmentosa	OMIM phenotypic series	PS268000	268000	Feb 16 2016
326	AIRE		C0085859	Polyglandular autoimmune syndrome, type 1	NCBI curation		240300	Feb 16 2016
203	AK1		C2675459	Adenylate kinase deficiency, hemolytic anemia due to	NCBI curation		612631	Feb 16 2016
204	AK2		C0272167	Reticular dysgenesis	NCBI curation		267500	Feb 16 2016
122481	AK7		C4693784	SPERMATOGENIC FAILURE 27	OMIM	617965	617965	May 11 2018
11216	AKAP10		C0264886	Conduction disorder of the heart			115080	Feb 16 2016
10142	AKAP9		C2678483	Long QT syndrome 11	MONDO	MONDO:0012738	611820	Feb 16 2016
1646	AKR1C2		C1839840	46,XY sex reversal 8	NCBI curation		614279	Feb 16 2016
1109	AKR1C4		C1839840	46,XY sex reversal 8	NCBI curation		614279	Feb 16 2016
6718	AKR1D1		C1856127	Congenital bile acid synthesis defect 2	MONDO	MONDO:0009339	235555	Apr 22 2020
207	AKT1		C0085261	Proteus syndrome	NCBI curation		176920	Feb 16 2016
207	AKT1		C1527249	Colorectal cancer	NCBI curation		114500	Feb 16 2016
207	AKT1		C0006142	Familial cancer of breast	NCBI curation		114480	Feb 16 2016
207	AKT1		C0919267	Neoplasm of ovary	NCBI curation		167000	Feb 16 2016
207	AKT1		C3554519	Cowden syndrome 6	NCBI curation		615109	Feb 16 2016
208	AKT2		C1855860	Hypoglycemia, neonatal, simulating foetopathia diabetica	NCBI curation		240900	Feb 16 2016
208	AKT2		C0011860	Diabetes mellitus type 2	Human Phenotype Ontology	HP:0005978	125853	Jul  6 2018
10000	AKT3		C4014738	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	NCBI curation		615937	Feb 16 2016
210	ALAD		C0268328	Porphobilinogen synthase deficiency	NCBI curation		612740	Feb 16 2016
212	ALAS2		C2677889	Protoporphyria, erythropoietic, X-linked	NCBI curation		300752	Feb 16 2016
212	ALAS2		C4551511	Anemia, sideroblastic, 1	NCBI curation		300751	Feb  8 2020
213	ALB		C0878666	Analbuminemia	NCBI curation		616000	Feb 16 2016
213	ALB		C0342185	Hyperthyroxinemia, familial dysalbuminemic	NCBI curation		615999	Feb 16 2016
5832	ALDH18A1		C4225272	Spastic paraplegia 9b, autosomal recessive	NCBI curation		616586	Feb 16 2016
5832	ALDH18A1		CN029699	Cutis laxa, autosomal recessive IIIA	NCBI curation		219150	May 31 2020
5832	ALDH18A1		C1832669	Hereditary spastic paraplegia 9A	MONDO	MONDO:0011006	601162	Apr 17 2020
5832	ALDH18A1		C4225268	Cutis laxa, autosomal dominant 3	NCBI curation		616603	Feb 16 2016
220	ALDH1A3		C3554524	Microphthalmia, isolated 8	NCBI curation		615113	Feb 16 2016
217	ALDH2		C2674838	Acute alcohol sensitivity	NCBI curation		610251	Feb 16 2016
224	ALDH3A2		C0037231	Sjögren-Larsson syndrome	NCBI curation		270200	Feb 16 2016
8659	ALDH4A1		C2931835	Deficiency of pyrroline-5-carboxylate reductase			239510	Feb 16 2016
7915	ALDH5A1		C0268631	Succinate-semialdehyde dehydrogenase deficiency			271980	Feb 16 2016
4329	ALDH6A1		C3279840	Methylmalonate semialdehyde dehydrogenase deficiency	NCBI curation		614105	Feb 16 2016
501	ALDH7A1		C1849508	Pyridoxine-dependent epilepsy			266100	Feb 16 2016
226	ALDOA		C0272066	HNSHA due to aldolase A deficiency			611881	Feb 16 2016
229	ALDOB		C0016751	Hereditary fructosuria	NCBI curation		229600	Feb 16 2016
56052	ALG1		C2931005	ALG1-CDG	MONDO	MONDO:0012052	608540	Apr 17 2020
56052	ALG1		C2931005	ALG1-CDG	Orphanet	ORPHA79327	608540	Apr 17 2020
144245	ALG10B		C3150943	Long QT syndrome 2	MONDO	MONDO:0013367	613688	Feb 16 2016
440138	ALG11		C3150913	Congenital disorder of glycosylation type 1P	NCBI curation		613661	Feb 16 2016
79087	ALG12		C2931001	ALG12-congenital disorder of glycosylation	NCBI curation		607143	Dec 25 2017
79868	ALG13		C0282577	Congenital disorder of glycosylation	Orphanet	ORPHA137		Feb 16 2016
79868	ALG13		C3550904	Epileptic encephalopathy, early infantile, 36	NCBI curation		300884	Aug 24 2016
199857	ALG14		C4015596	Myasthenic syndrome, congenital, 15	NCBI curation		616227	Aug 24 2016
85365	ALG2		C1842836	ALG2-CDG	MONDO	MONDO:0011933	607906	Apr 17 2020
85365	ALG2		C4015597	Myasthenic syndrome, congenital, 14	NCBI curation		616228	Aug 24 2016
10195	ALG3		C1832736	ALG3-CDG	MONDO	MONDO:0010998	601110	Apr 17 2020
29929	ALG6		C2930997	Congenital disorder of glycosylation type 1C	NCBI curation		603147	Jun 26 2020
79053	ALG8		C4693472	POLYCYSTIC LIVER DISEASE 3 WITH OR WITHOUT KIDNEY CYSTS	OMIM	617874	617874	Feb 23 2018
79053	ALG8		C2931002	ALG8-CDG	MONDO	MONDO:0011969	608104	Apr 17 2020
79053	ALG8		C2931002	ALG8-CDG	Orphanet	ORPHA79325	608104	Apr 17 2020
79796	ALG9		C1849762	Gillessen-Kaesbach-Nishimura syndrome	NCBI curation		263210	Jan 22 2017
79796	ALG9		C2931006	ALG9 congenital disorder of glycosylation	NCBI curation		608776	Dec 25 2017
238	ALK		C2751681	Neuroblastoma 3	NCBI curation		613014	Feb 16 2016
91801	ALKBH8		C5193133	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 71	OMIM	618504	618504	Jul 21 2019
